                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.02235,                    0.5,                      1,                0.02166,                    0.1,                      0,                      0
                      1,                0.02235,                    0.5,                      1,                0.02166,               0.099099,              9.901e-05,              9.901e-05
                      2,                0.02233,                    0.5,                      1,                0.02166,               0.098196,             0.00019604,             0.00019604
                      3,                0.02231,                    0.5,                      1,                0.02166,               0.097291,             0.00029109,             0.00029109
                      4,                0.02227,                    0.5,                      1,                0.02166,               0.096384,             0.00038416,             0.00038416
                      5,                0.02221,                    0.5,                      1,                0.02166,               0.095475,             0.00047525,             0.00047525
                      6,                0.02213,                    0.5,                      1,                0.02166,               0.094564,             0.00056436,             0.00056436
                      7,                0.02203,                    0.5,                      1,                0.02166,               0.093651,             0.00065149,             0.00065149
                      8,                0.02192,                    0.5,                      1,                0.02166,               0.092737,             0.00073664,             0.00073664
                      9,                 0.0218,                    0.5,                      1,                0.02166,                0.09182,             0.00081981,             0.00081981
                     10,                0.02168,                    0.5,                      1,                0.02166,               0.090901,               0.000901,               0.000901
                     11,                0.02157,                    0.5,                      1,                0.02166,                0.08998,             0.00098021,             0.00098021
                     12,                0.02146,                    0.5,                      1,                0.02166,               0.089057,              0.0010574,              0.0010574
                     13,                0.02134,                    0.5,                      1,                0.02166,               0.088133,              0.0011327,              0.0011327
                     14,                0.02122,                    0.5,                      1,                0.02166,               0.087206,               0.001206,               0.001206
                     15,                0.02107,                    0.5,                      1,                0.02166,               0.086277,              0.0012772,              0.0012772
                     16,                0.02092,                    0.5,                      1,                0.02166,               0.085347,              0.0013466,              0.0013466
                     17,                0.02077,                    0.5,                      1,                0.02166,               0.084414,              0.0014139,              0.0014139
                     18,                0.02077,                    0.5,                      1,                0.02166,               0.083479,              0.0014792,              0.0014792
                     19,                 0.0206,                    0.5,                      1,                0.02166,               0.082543,              0.0015426,              0.0015426
                     20,                 0.0206,                    0.5,                      1,                0.02166,               0.081604,               0.001604,               0.001604
                     21,                0.02042,                    0.5,                      1,                0.02166,               0.080663,              0.0016634,              0.0016634
                     22,                0.02042,                    0.5,                      1,                0.02166,               0.079721,              0.0017208,              0.0017208
                     23,                0.02024,                    0.5,                      1,                0.02166,               0.078776,              0.0017763,              0.0017763
                     24,                0.02024,                    0.5,                      1,                0.02166,                0.07783,              0.0018298,              0.0018298
                     25,                0.02004,                    0.5,                      1,                0.02166,               0.076881,              0.0018812,              0.0018812
                     26,                0.02004,                    0.5,                      1,                0.02167,               0.075931,              0.0019308,              0.0019308
                     27,                0.01984,                    0.5,                      1,                0.02167,               0.074978,              0.0019783,              0.0019783
                     28,                0.01984,                    0.5,                      1,                0.02167,               0.074024,              0.0020238,              0.0020238
                     29,                0.01963,                    0.5,                      1,                0.02167,               0.073067,              0.0020674,              0.0020674
                     30,                0.01963,                    0.5,                      1,                0.02167,               0.072109,               0.002109,               0.002109
                     31,                0.01942,                    0.5,                      1,                0.02167,               0.071149,              0.0021486,              0.0021486
                     32,                0.01942,                    0.5,                      1,                0.02167,               0.070186,              0.0021862,              0.0021862
                     33,                0.01923,                    0.5,                      1,                0.02167,               0.069222,              0.0022219,              0.0022219
                     34,                0.01923,                    0.5,                      1,                0.02168,               0.068256,              0.0022556,              0.0022556
                     35,                0.01904,                    0.5,                      1,                0.02168,               0.067287,              0.0022873,              0.0022873
                     36,                0.01904,                    0.5,                      1,                0.02168,               0.066317,               0.002317,               0.002317
                     37,                0.01884,                    0.5,                      1,                0.02168,               0.065345,              0.0023447,              0.0023447
                     38,                0.01884,                    0.5,                      1,                0.02168,                0.06437,              0.0023704,              0.0023704
                     39,                0.01865,                    0.5,                      1,                0.02168,               0.063394,              0.0023942,              0.0023942
                     40,                0.01865,                    0.5,                      1,                0.02168,               0.062416,               0.002416,               0.002416
                     41,                0.01846,                    0.5,                      1,                0.02168,               0.061436,              0.0024358,              0.0024358
                     42,                0.01846,                    0.5,                      1,                0.02167,               0.060454,              0.0024536,              0.0024536
                     43,                0.01827,                    0.5,                      1,                0.02167,               0.059469,              0.0024695,              0.0024695
                     44,                0.01827,                    0.5,                      1,                0.02167,               0.058483,              0.0024834,              0.0024834
                     45,                0.01808,                    0.5,                      1,                0.02167,               0.057495,              0.0024953,              0.0024953
                     46,                0.01808,                    0.5,                      1,                0.02166,               0.056505,              0.0025052,              0.0025052
                     47,                0.01789,                    0.5,                      1,                0.02166,               0.055513,              0.0025131,              0.0025131
                     48,                0.01789,                    0.5,                      1,                0.02165,               0.054519,               0.002519,               0.002519
                     49,                 0.0177,                    0.5,                      1,                0.02165,               0.053523,               0.002523,               0.002523
                     50,                 0.0177,                    0.5,                      1,                0.02163,               0.052525,               0.002525,               0.002525
                     51,                0.01752,                    0.5,                      1,                0.02163,               0.051525,               0.002525,               0.002525
                     52,                0.01752,                    0.5,                      1,                0.02163,               0.050523,               0.002523,               0.002523
                     53,                0.01752,                    0.5,                      1,                0.02161,               0.049519,              0.0025191,              0.0025191
                     54,                0.01733,                    0.5,                      1,                0.02161,               0.048513,              0.0025132,              0.0025132
                     55,                0.01733,                    0.5,                      1,                0.02161,               0.047505,              0.0025053,              0.0025053
                     56,                0.01733,                    0.5,                      1,                0.02159,               0.046495,              0.0024954,              0.0024954
                     57,                0.01716,                    0.5,                      1,                0.02159,               0.045483,              0.0024835,              0.0024835
                     58,                0.01716,                    0.5,                      1,                0.02159,                0.04447,              0.0024696,              0.0024696
                     59,                0.01716,                    0.5,                      1,                0.02156,               0.043454,              0.0024538,              0.0024538
                     60,                0.01699,                    0.5,                      1,                0.02156,               0.042436,               0.002436,               0.002436
                     61,                0.01699,                    0.5,                      1,                0.02156,               0.041416,              0.0024162,              0.0024162
                     62,                0.01699,                    0.5,                      1,                0.02153,               0.040394,              0.0023944,              0.0023944
                     63,                0.01684,                    0.5,                      1,                0.02153,               0.039371,              0.0023707,              0.0023707
                     64,                0.01684,                    0.5,                      1,                0.02153,               0.038345,               0.002345,               0.002345
                     65,                0.01684,                    0.5,                      1,                 0.0215,               0.037317,              0.0023172,              0.0023172
                     66,                0.01678,                    0.5,                      1,                 0.0215,               0.036288,              0.0022876,              0.0022876
                     67,                0.01678,                    0.5,                      1,                 0.0215,               0.035256,              0.0022559,              0.0022559
                     68,                0.01678,                    0.5,                      1,                0.02145,               0.034222,              0.0022222,              0.0022222
                     69,                0.01668,                    0.5,                      1,                0.02145,               0.033187,              0.0021866,              0.0021866
                     70,                0.01668,                    0.5,                      1,                0.02145,               0.032149,               0.002149,               0.002149
                     71,                0.01668,                    0.5,                      1,                0.02141,               0.031109,              0.0021094,              0.0021094
                     72,                0.01657,                    0.5,                      1,                0.02141,               0.030068,              0.0020678,              0.0020678
